"variable","method","DP_mean","DP_sd","Precision_mean","Precision_sd","FP_mean","FP_sd","Specificity_mean","Specificity_sd","F1_Score_mean","F1_Score_sd","herd","ngenes","methodology"
7,"BA",100,0,1.54367964753146,0.153581544772116,13.1305456399796,1.24597026777501,86.8694543600204,1.24597026777501,3.03998387712418,0.297525992911343,"h2 = 0.5",8,"ML"
7,"BO",100,0,2.29407604180839,0.163898104919953,8.72921978582356,0.597335320354369,91.2707802141764,0.597335320354369,4.48476585509115,0.312719352834453,"h2 = 0.5",8,"ML"
7,"Blink",50,13.8320833793122,63.3333333333333,19.6338363124651,0.0611932687404386,0.0349372151476121,99.9388067312596,0.0349372151476141,55.7142857142857,16.0694038245139,"h2 = 0.5",8,"MM"
7,"CMLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",8,"MM"
7,"DT",95,10.1015254455221,21.1919892588268,5.56645922282098,0.770015298317185,0.212014747735926,99.2299847016828,0.212014747735925,34.4543674776233,7.98276187444589,"h2 = 0.5",8,"ML"
7,"FarmCPU",40,9.44911182523068,53.4285714285714,11.4980074007056,0.071392146863845,0.0192740679759932,99.9286078531362,0.0192740679759943,45.6117216117216,10.0086040969468,"h2 = 0.5",8,"MM"
7,"GLM",45,18.8982236504614,2.89407589407589,1.07808178225007,3.15145334013259,1.07481478205044,96.8485466598674,1.07481478205044,5.40606672149241,2.02157275599131,"h2 = 0.5",8,"MM"
7,"MARS 1",57.5,6.18589574131742,92,9.89743318610787,0.0101988781234064,0.012617839349959,99.9898011218766,0.0126178393499597,70.7692307692308,7.6134101431599,"h2 = 0.5",8,"ML"
7,"MARS 2",77.5,9.44911182523068,86.0714285714286,9.1552849208808,0.0254971953085161,0.0162895605558373,99.9745028046915,0.0162895605558382,81.5,9.04135121240358,"h2 = 0.5",8,"ML"
7,"MARS 3",87.5,7.98595706249925,24.0310552733969,5.86714849824665,0.601733809280979,0.178888747108744,99.398266190719,0.17888874710874,37.537987185046,8.1104025612038,"h2 = 0.5",8,"ML"
7,"MLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",8,"MM"
7,"MLMM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",8,"MM"
7,"RF",100,0,1.46143067527832,0.146104607728851,13.883222845487,1.33224557156674,86.116777154513,1.33224557156674,2.88036087702258,0.283551784599337,"h2 = 0.5",8,"ML"
7,"SUPER",67.5,6.18589574131742,2.36666262220234,0.646230709248296,6.46608873023967,3.06198678903471,93.5339112697603,3.06198678903471,4.55754811226522,1.21199375623452,"h2 = 0.5",8,"MM"
8,"BA",95.6,3.21666578548506,3.40682799741685,0.145846194509829,30.3915966386555,0.827325295274245,69.6084033613445,0.827325295274244,6.57904955472638,0.277996376543139,"h2 = 0.5",40,"ML"
