"variable","Heritability","method","Methodology","Hits_Format","Errors_Format"
7,"0.5","Blink","MM","4 ± 1.11","2.4 ± 1.37"
7,"0.5","CMLM","MM","0 ± 0","0 ± 0"
7,"0.5","FarmCPU","MM","3.2 ± 0.76","2.8 ± 0.76"
7,"0.5","GLM","MM","3.6 ± 1.51","123.6 ± 42.15"
7,"0.5","MLM","MM","0 ± 0","0 ± 0"
7,"0.5","MLMM","MM","0 ± 0","0 ± 0"
7,"0.5","SUPER","MM","6 ± 0","486 ± 0"
7,"0.5","BA","ML","8 ± 0","514.98 ± 48.87"
7,"0.5","BO","ML","8 ± 0","342.36 ± 23.43"
7,"0.5","DT","ML","7.6 ± 0.81","30.2 ± 8.32"
7,"0.5","MARS 1","ML","4.6 ± 0.49","0.4 ± 0.49"
7,"0.5","MARS 2","ML","6.2 ± 0.76","1 ± 0.64"
7,"0.5","MARS 3","ML","7 ± 0.64","23.6 ± 7.02"
7,"0.5","RF","ML","8 ± 0","544.5 ± 52.25"
8,"0.5","Blink","MM","0.6 ± 0.49","5 ± 2.47"
8,"0.5","CMLM","MM","0 ± 0","0 ± 0"
8,"0.5","FarmCPU","MM","1.6 ± 1.37","17.2 ± 26.77"
8,"0.5","GLM","MM","11.6 ± 2.52","546.4 ± 174.88"
8,"0.5","MLM","MM","0 ± 0","0 ± 0"
8,"0.5","MLMM","MM","0 ± 0","0 ± 0"
8,"0.5","SUPER","MM","23.8 ± 2.51","1107.4 ± 200.69"
8,"0.5","BA","ML","38.24 ± 1.29","1084.98 ± 29.54"
8,"0.5","BO","ML","34.02 ± 1.71","482.52 ± 12.37"
8,"0.5","DT","ML","7.6 ± 1.37","86.8 ± 10.51"
8,"0.5","MARS 1","ML","1.6 ± 0.49","3.4 ± 0.49"
8,"0.5","MARS 2","ML","2.6 ± 1.03","9.2 ± 1.34"
8,"0.5","MARS 3","ML","8 ± 1.56","29.4 ± 4.68"
8,"0.5","RF","ML","38.4 ± 1.11","1164.52 ± 26.44"
9,"0.5","Blink","MM","2 ± 1.43","4.2 ± 1.62"
9,"0.5","CMLM","MM","0 ± 0","0 ± 0"
9,"0.5","FarmCPU","MM","3.6 ± 2.6","50 ± 43.26"
9,"0.5","GLM","MM","25 ± 6.73","568.2 ± 192.47"
9,"0.5","MLM","MM","0 ± 0","0 ± 0"
