"method","variable","type","Time_Format","Min_Sec","Max_Sec"
"DT",13,"ML (Machine Learning)","9.7 ± 1.9 s",6.24152398109436,12.4836721420288
"DT",17,"ML (Machine Learning)","11.6 ± 1.16 s",9.89313912391663,15.8433949947357
"DT",16,"ML (Machine Learning)","12.23 ± 1.24 s",10.2430942058563,15.8185200691223
"DT",7,"ML (Machine Learning)","12.28 ± 1.25 s",10.279098033905,15.7750470638275
"DT",15,"ML (Machine Learning)","12.5 ± 1.31 s",10.1915690898895,15.4176671504974
"DT",14,"ML (Machine Learning)","12.62 ± 1.44 s",9.81270909309387,15.9893891811371
"DT",8,"ML (Machine Learning)","12.79 ± 1.6 s",9.09541893005371,16.5839550495148
"DT",10,"ML (Machine Learning)","13.74 ± 0.7 s",12.7854590415955,15.5701851844788
"DT",11,"ML (Machine Learning)","14.24 ± 0.82 s",12.960816860199,16.2983460426331
"DT",9,"ML (Machine Learning)","14.29 ± 0.82 s",12.7212538719177,16.0957379341125
"MARS 1",8,"ML (Machine Learning)","30.75 ± 2.72 s",26.1115579605103,41.6023581027985
"MARS 1",17,"ML (Machine Learning)","30.93 ± 1.75 s",27.9472498893738,34.5950930118561
"MARS 1",15,"ML (Machine Learning)","30.97 ± 1.64 s",28.3399767875671,34.9347171783447
"MARS 1",16,"ML (Machine Learning)","31.21 ± 1.55 s",28.2407479286194,34.8157801628113
"MARS 1",14,"ML (Machine Learning)","31.55 ± 1.64 s",28.556872844696,35.797465801239
"MARS 1",10,"ML (Machine Learning)","32.66 ± 2.21 s",25.7581830024719,37.0586040019989
"MARS 1",13,"ML (Machine Learning)","33.51 ± 2.37 s",29.8893351554871,40.7983009815216
"MARS 1",11,"ML (Machine Learning)","33.53 ± 1.76 s",30.2010898590088,36.9838080406189
"MARS 1",9,"ML (Machine Learning)","33.67 ± 1.66 s",30.1062390804291,37.0926158428192
"MARS 1",7,"ML (Machine Learning)","34.81 ± 3.79 s",29.6702299118042,42.9988820552826
"BO",13,"ML (Machine Learning)","43.09 ± 5.8 s",27.2956519126892,54.8457159996033
"BO",17,"ML (Machine Learning)","45.4 ± 3.24 s",42.138603925705,52.6535928249359
"BO",16,"ML (Machine Learning)","49.22 ± 2.39 s",43.9071590900421,57.1108779907227
"BO",8,"ML (Machine Learning)","49.23 ± 2.98 s",42.927463054657,58.0739860534668
"BO",7,"ML (Machine Learning)","49.55 ± 3.47 s",43.204735994339,59.3583760261536
"BO",15,"ML (Machine Learning)","50.1 ± 3.16 s",44.3358581066132,61.4999148845673
"BO",14,"ML (Machine Learning)","50.12 ± 2.26 s",43.5446310043335,55.7181088924408
"MARS 2",7,"ML (Machine Learning)","53.62 ± 3.49 s",47.7294230461121,63.4239370822906
"BO",10,"ML (Machine Learning)","55.14 ± 1.29 s",52.1292169094086,57.7108280658722
"BO",11,"ML (Machine Learning)","55.93 ± 1.95 s",52.2792520523071,60.2816150188446
"BO",9,"ML (Machine Learning)","56.2 ± 1.5 s",53.2218809127808,58.7077360153198
"Blink",7,"MM (Statistical)","59.87 ± 5.11 s",51.2552750110626,72.2091808319092
"MARS 2",13,"ML (Machine Learning)","60.8 ± 3.32 s",56.1180191040039,71.2318170070648
"Blink",13,"MM (Statistical)","62.59 ± 5.36 s",54.6035108566284,75.6661808490753
"Blink",8,"MM (Statistical)","62.69 ± 5.43 s",53.3134751319885,77.3496310710907
"Blink",15,"MM (Statistical)","64.36 ± 7.99 s",54.3819439411163,83.3054549694061
"Blink",10,"MM (Statistical)","65.04 ± 5.11 s",55.9194009304047,76.6917850971222
"MARS 2",8,"ML (Machine Learning)","66.26 ± 5.73 s",55.4805109500885,78.6611440181732
"Blink",14,"MM (Statistical)","69.11 ± 6.82 s",56.7269508838654,82.8466730117798
"Blink",11,"MM (Statistical)","70.52 ± 5.72 s",58.5638558864594,83.6527631282806
"Blink",9,"MM (Statistical)","72.31 ± 8.63 s",55.8203890323639,86.8476731777191
"MARS 2",9,"ML (Machine Learning)","72.48 ± 6.02 s",60.4091918468475,86.6394760608673
"FarmCPU",7,"MM (Statistical)","72.71 ± 9.11 s",62.7776720523834,100.38339304924
"FarmCPU",17,"MM (Statistical)","72.75 ± 7.4 s",60.5454180240631,103.858561992645
"Blink",17,"MM (Statistical)","76.35 ± 33.84 s",41.2800409793854,155.17977809906
"Blink",16,"MM (Statistical)","76.6 ± 9.93 s",60.1215369701385,99.5344800949097
"FarmCPU",15,"MM (Statistical)","77.23 ± 10.19 s",66.7452070713043,103.613213062286
"FarmCPU",9,"MM (Statistical)","77.59 ± 9.05 s",65.0072870254517,95.6447951793671
"MARS 2",11,"ML (Machine Learning)","77.66 ± 7.28 s",67.0107419490814,101.19412612915
"GLM",14,"MM (Statistical)","78.04 ± 15.5 s",50.5464301109314,96.5466620922089
"FarmCPU",8,"MM (Statistical)","81.33 ± 11.28 s",63.9178459644318,106.015316009521
"MARS 2",10,"ML (Machine Learning)","81.59 ± 8.35 s",66.0342171192169,100.738373041153
"FarmCPU",10,"MM (Statistical)","87.16 ± 13.62 s",62.5151679515839,113.93119597435
"FarmCPU",11,"MM (Statistical)","88.02 ± 12.14 s",68.5939769744873,110.174767017365
"MARS 2",14,"ML (Machine Learning)","88.16 ± 6.56 s",78.3972389698029,104.248366117477
"FarmCPU",16,"MM (Statistical)","88.62 ± 13.48 s",64.0653610229492,122.523067951202
"FarmCPU",14,"MM (Statistical)","89.24 ± 14.09 s",71.5067839622498,125.147696018219
"GLM",15,"MM (Statistical)","89.47 ± 23.74 s",49.4798369407654,120.707911014557
"GLM",13,"MM (Statistical)","90.81 ± 5.39 s",80.7326250076294,101.63287115097
"GLM",11,"MM (Statistical)","91.19 ± 6.2 s",80.7258911132812,104.363896131516
"GLM",10,"MM (Statistical)","95.48 ± 6.66 s",80.6938090324402,106.280656099319
"MARS 2",15,"ML (Machine Learning)","96.94 ± 7.93 s",79.0394639968872,110.043406009674
"FarmCPU",13,"MM (Statistical)","97.12 ± 14.14 s",64.6919150352478,116.323959112167
"GLM",17,"MM (Statistical)","98.18 ± 8.48 s",82.8321919441223,117.422641992569
"MARS 2",16,"ML (Machine Learning)","98.64 ± 10.48 s",80.2154688835144,117.26845407486
"GLM",16,"MM (Statistical)","105.97 ± 5.23 s",94.1896541118622,116.452299118042
"GLM",7,"MM (Statistical)","107.62 ± 9.28 s",97.45143699646,129.042302131653
"GLM",9,"MM (Statistical)","109.29 ± 14.45 s",88.656858921051,136.530462026596
"GLM",8,"MM (Statistical)","118.2 ± 10.91 s",100.248808860779,140.374930858612
"MARS 2",17,"ML (Machine Learning)","120.44 ± 8.56 s",102.336055994034,136.077893972397
"MLM",13,"MM (Statistical)","150.9 ± 13.09 s",141.229479074478,200.348952054977
"MLM",11,"MM (Statistical)","156.42 ± 17.31 s",143.806695222855,199.205168008804
"MLM",15,"MM (Statistical)","160.68 ± 18.77 s",145.684805870056,195.664111852646
"MLM",17,"MM (Statistical)","161.04 ± 19.49 s",144.114972114563,200.052206993103
"MLM",8,"MM (Statistical)","162.77 ± 18.65 s",143.186144828796,196.725754022598
"MLM",9,"MM (Statistical)","165.71 ± 18.9 s",141.853896856308,192.007886171341
"MLM",7,"MM (Statistical)","166.55 ± 18.55 s",144.444339990616,192.884331941605
"MLM",10,"MM (Statistical)","169.72 ± 19.42 s",141.604294061661,197.439754009247
"MLM",16,"MM (Statistical)","176.84 ± 19.72 s",144.034112930298,205.314774990082
"MLM",14,"MM (Statistical)","180.51 ± 17.66 s",142.434989929199,201.1383228302
"RF",13,"ML (Machine Learning)","204.45 ± 26.65 s",145.844377040863,253.167464017868
"RF",17,"ML (Machine Learning)","227.33 ± 19.72 s",205.569020986557,272.562919855118
"RF",8,"ML (Machine Learning)","235.92 ± 8.72 s",219.768811941147,254.105194807053
"RF",15,"ML (Machine Learning)","241.65 ± 12.69 s",222.921021938324,280.597858905792
"RF",16,"ML (Machine Learning)","242.49 ± 10.57 s",220.128577947617,263.948317050934
"RF",7,"ML (Machine Learning)","243.81 ± 13.89 s",223.53829908371,282.019661903381
"MARS 3",13,"ML (Machine Learning)","246.91 ± 49.01 s",160.13662314415,345.144068002701
"RF",14,"ML (Machine Learning)","250.61 ± 20.41 s",221.780476808548,288.829710960388
"RF",10,"ML (Machine Learning)","255.25 ± 10.21 s",244.527560949326,280.104453086853
"RF",11,"ML (Machine Learning)","262.08 ± 8.51 s",245.008683204651,278.319618940353
"RF",9,"ML (Machine Learning)","266.78 ± 7.87 s",251.790288209915,290.640384912491
"MARS 3",7,"ML (Machine Learning)","274.75 ± 91.81 s",186.356364011765,490.26219701767
"MLMM",8,"MM (Statistical)","294.25 ± 26.05 s",275.288323879242,360.419711112976
"MLMM",15,"MM (Statistical)","301.81 ± 37.16 s",270.587060928345,371.280467987061
"MLMM",10,"MM (Statistical)","310.96 ± 35.08 s",277.418591022491,410.982129096985
"MARS 3",8,"ML (Machine Learning)","314.68 ± 46.41 s",219.584737062454,399.376946926117
"MARS 3",9,"ML (Machine Learning)","317.54 ± 34.78 s",248.287914991379,393.132380962372
"MLMM",17,"MM (Statistical)","317.84 ± 44.12 s",272.729669094086,426.732680082321
"MLMM",9,"MM (Statistical)","319.59 ± 32.91 s",275.928217887878,363.45529794693
"MLMM",14,"MM (Statistical)","323.71 ± 39.19 s",269.606607913971,388.603619098663
"MLMM",7,"MM (Statistical)","325.28 ± 30.24 s",275.540308952332,363.730767011642
"MLMM",13,"MM (Statistical)","326.95 ± 38.41 s",275.486690998077,380.6971180439
"MLMM",16,"MM (Statistical)","331.94 ± 43.89 s",273.209259033203,384.698922872543
"MLMM",11,"MM (Statistical)","332.95 ± 39.38 s",277.246345043182,414.96803188324
"MARS 3",11,"ML (Machine Learning)","400.96 ± 94.27 s",265.705721855164,546.556091070175
"MARS 3",10,"ML (Machine Learning)","425.65 ± 134.01 s",295.364012002945,692.061432123184
"MARS 3",16,"ML (Machine Learning)","465.48 ± 64.96 s",378.053419113159,622.254494905472
"MARS 3",15,"ML (Machine Learning)","504.15 ± 114.78 s",282.14191198349,669.221639156342
"MARS 3",14,"ML (Machine Learning)","504.6 ± 69.41 s",390.789297103882,643.032081842422
"BA",13,"ML (Machine Learning)","550.91 ± 72.57 s",384.353352069855,692.054831981659
"MARS 3",17,"ML (Machine Learning)","552 ± 65.7 s",364.637467861176,674.62953710556
"BA",17,"ML (Machine Learning)","600.22 ± 45.59 s",553.989294052124,701.440561056137
"BA",15,"ML (Machine Learning)","663.18 ± 31.21 s",617.526793956757,711.069306850433
"BA",8,"ML (Machine Learning)","663.77 ± 28.07 s",621.017410993576,710.518656015396
