"method","type","Time_Format","Min_Sec","Max_Sec"
"DT","ML (Machine Learning)","12.6 ± 1.8 s",6.24152398109436,16.5839550495148
"MARS 1","ML (Machine Learning)","32.36 ± 2.59 s",25.7581830024719,42.9988820552826
"BO","ML (Machine Learning)","50.4 ± 5.11 s",27.2956519126892,61.4999148845673
"Blink","MM (Statistical)","67.95 ± 13.64 s",41.2800409793854,155.17977809906
"MARS 2","ML (Machine Learning)","81.66 ± 20.32 s",47.7294230461121,136.077893972397
"FarmCPU","MM (Statistical)","83.17 ± 13.89 s",60.5454180240631,125.147696018219
"GLM","MM (Statistical)","98.42 ± 16.34 s",49.4798369407654,140.374930858612
"MLM","MM (Statistical)","165.11 ± 19.97 s",141.229479074478,205.314774990082
"RF","ML (Machine Learning)","243.04 ± 22.76 s",145.844377040863,290.640384912491
"MLMM","MM (Statistical)","318.53 ± 38.65 s",269.606607913971,426.732680082321
"MARS 3","ML (Machine Learning)","400.67 ± 130.23 s",160.13662314415,692.061432123184
"BA","ML (Machine Learning)","663.24 ± 61.22 s",384.353352069855,762.914545059204
"CMLM","MM (Statistical)","710.71 ± 70.33 s",610.821228981018,837.202728033066
"SUPER","MM (Statistical)","2185.82 ± 4194.49 s",230.150400876999,18071.0562827587
