Regiao_Global_ID,Gene_ID,Chr,Start,End,Function
Chr0_R1,GSCOCG00036099001,chr0,391364,394445,putative B3 domain-containing protein At5g60142
Chr0_R1,GSCOCG00036100001,chr0,415795,418044,putative b3 domain-containing protein OS=Nicotiana attenuata OX=49451 GN=A4A49
Chr0_R1,GSCOCG00036101001,chr0,439641,442080,Glycosyltransferase
Chr0_R1,GSCOCG00036102001,chr0,450156,450290,putative UDP-glycosyltransferase 86A1
Chr0_R1,GSCOCG00036104001,chr0,465429,472028,conserved hypothetical protein
Chr0_R1,GSCOCG00036105001,chr0,479121,480784,putative Nucleotide-diphospho-sugar transferase family protein
Chr0_R1,GSCOCG00036106001,chr0,485790,490706,conserved hypothetical protein
Chr0_R1,GSCOCG00036108001,chr0,512771,513397,putative Cytochrome P450 76C3
Chr0_R1,GSCOCG00036110001,chr0,523233,532915,conserved hypothetical protein
Chr0_R1,GSCOCG00036111001,chr0,532986,533381,putative protein phosphatase 2C 68
Chr0_R1,GSCOCG00036113001,chr0,536886,537056,putative inactive receptor kinase At5g58300
Chr0_R1,GSCOCG00036114001,chr0,546230,550053,Flavin-containing monooxygenase
Chr0_R1,GSCOCG00036115001,chr0,550745,581830,Flavin-containing monooxygenase
Chr0_R1,GSCOCG00036116001,chr0,590385,606625,L-arabinokinase
Chr0_R1,GSCOCG00036117001,chr0,611366,611584,putative polyol transporter 4
Chr0_R1,GSCOCG00036120001,chr0,668626,669176,conserved hypothetical protein
Chr0_R1,GSCOCG00036122001,chr0,670715,671570,conserved hypothetical protein
Chr0_R1,GSCOCG00036123001,chr0,683265,683780,conserved hypothetical protein
Chr0_R1,GSCOCG00036124001,chr0,689102,689920,conserved hypothetical protein
Chr0_R1,GSCOCG00036126001,chr0,706769,709670,Mediator of RNA polymerase II transcription subunit 21
Chr0_R1,GSCOCG00036127001,chr0,716344,720569,arginine decarboxylase-like
Chr0_R1,GSCOCG00036128001,chr0,728679,730155,putative protein kinase superfamily protein
Chr0_R1,GSCOCG00036129001,chr0,730209,731795,putative Tudor/PWWP/MBT superfamily protein
Chr0_R3,GSCOCG00002031001,chr0,29235496,29237223,RNase H domain-containing protein
Chr0_R3,GSCOCG00002032001,chr0,29237410,29238936,AAA domain-containing protein
Chr0_R4,GSCOCG00003940001,chr0,103966888,103969853,putative Cytochrome P450 CYP72A219
Chr0_R4,GSCOCG00010745001,chr0,104004231,104009589,putative protein LAZY 1
Chr0_R4,GSCOCG00010746001,chr0,104012317,104012955,conserved hypothetical protein
Chr0_R4,GSCOCG00010747001,chr0,104022955,104023389,putative Loganic acid O-methyltransferase
Chr0_R4,GSCOCG00010749001,chr0,104048860,104051087,7-deoxyloganic acid hydroxylase
Chr0_R4,GSCOCG00012536001,chr0,104113402,104121349,C-CAP/cofactor C-like domain-containing protein
Chr0_R4,GSCOCG00012537001,chr0,104121429,104124983,Rhodanese domain-containing protein
Chr0_R4,GSCOCG00012538001,chr0,104125532,104128428,"putative Outer envelope pore protein 16-3, chloroplastic/mitochondrial"
Chr0_R4,GSCOCG00012539001,chr0,104129516,104134692,CDK5RAP3-like protein
Chr0_R4,GSCOCG00012540001,chr0,104135233,104139752,Protein kinase domain-containing protein
Chr0_R4,GSCOCG00012541001,chr0,104141622,104144457,G-patch domain-containing protein
Chr0_R4,GSCOCG00012542001,chr0,104145045,104151849,SBP-type domain-containing protein
Chr0_R4,GSCOCG00008132001,chr0,104269366,104272253,Protein kinase domain-containing protein
Chr0_R4,GSCOCG00008133001,chr0,104275516,104276004,PHB domain-containing protein
Chr0_R5,GSCOCG00005362001,chr0,135669564,135671347,"putative cytochrome P450, family 72, subfamily A, polypeptide 8"
Chr0_R5,GSCOCG00013475001,chr0,135753503,135754177,putative protein COP1 SUPPRESSOR 2 isoform C
Chr0_R5,GSCOCG00006902001,chr0,135964970,135970965,UvrD-helicase domain-containing protein
Chr0_R5,GSCOCG00006903001,chr0,135971379,135972857,putative UvrD-like helicase ATP-binding domain-containing protein
Chr0_R5,GSCOCG00006904001,chr0,135973021,135975569,putative helicase MAGATAMA 3
Chr0_R6,GSCOCG00009491001,chr0,143919517,143919738,putative Delta(7)-sterol-C5(6)-desaturase
Chr0_R6,GSCOCG00013803001,chr0,143969721,143970246,conserved hypothetical protein
Chr0_R6,GSCOCG00011338001,chr0,144032063,144032403,BURP domain-containing protein
Chr0_R6,GSCOCG00013292001,chr0,144055803,144056332,putative protein cornichon
Chr1_R1,GSCOCG00030128001,chr1,24687315,24689112,Protein of Unknown Function (DUF239)
Chr1_R1,GSCOCG00030131001,chr1,24707889,24710992,EF1_GNE domain-containing protein
Chr1_R1,GSCOCG00030133001,chr1,24732277,24736253,THO complex subunit 7A
Chr1_R1,GSCOCG00030134001,chr1,24747236,24749385,zinc_ribbon_9 domain-containing protein
Chr1_R1,GSCOCG00030135001,chr1,24751691,24756409,Magnesium transporter
Chr1_R1,GSCOCG00030138001,chr1,24762575,24770559,Tryptophan/tyrosine permease
Chr1_R1,GSCOCG00030139001,chr1,24789842,24796984,GHMP_kinases_N domain-containing protein
Chr1_R1,GSCOCG00030140001,chr1,24797670,24802028,UBA domain-containing protein
Chr1_R1,GSCOCG00030141001,chr1,24828256,24832400,CBFD_NFYB_HMF domain-containing protein
Chr1_R1,GSCOCG00030143001,chr1,24833586,24835085,Cysteine proteinase inhibitor
Chr1_R1,GSCOCG00030144001,chr1,24837903,24846218,"Protein DGS1, mitochondrial"
Chr1_R1,GSCOCG00030145001,chr1,24875724,24876347,ANK_REP_REGION domain-containing protein
Chr1_R1,GSCOCG00030147001,chr1,24990637,24992205,ANK_REP_REGION domain-containing protein
Chr1_R1,GSCOCG00030149001,chr1,25005621,25007417,conserved hypothetical protein
Chr1_R1,GSCOCG00030150001,chr1,25043479,25045040,PGG domain-containing protein
Chr1_R1,GSCOCG00030152001,chr1,25047088,25047928,ANK_REP_REGION domain-containing protein
Chr1_R2,GSCOCG00028475001,chr1,32698584,32710742,K18270 - Rab3 GTPase-activating protein catalytic subunit (RAB3GAP1)  (1 of 2)
Chr1_R2,GSCOCG00028476001,chr1,32723388,32725387,ALOG domain-containing protein
Chr1_R2,GSCOCG00028478001,chr1,32732538,32736663,Thioredoxin superfamily protein
Chr1_R2,GSCOCG00028479001,chr1,32737131,32740720,Epimerase domain-containing protein
Chr1_R2,GSCOCG00028481001,chr1,32747810,32757411,"Glucan endo-1,3-beta-glucosidase 9 (Fragment) OS=Mucuna pruriens OX=157652 GN=CR513"
Chr1_R2,GSCOCG00028482001,chr1,32760427,32764709,putative protein FLX-like 1
Chr1_R2,GSCOCG00028483001,chr1,32769249,32772643,conserved hypothetical protein
Chr1_R2,GSCOCG00028484001,chr1,32776652,32777544,LOB domain-containing protein
Chr1_R2,GSCOCG00028485001,chr1,32782556,32784307,CCT domain-containing protein
Chr1_R2,GSCOCG00028486001,chr1,32787675,32789888,UDP-glycosyltransferase 87A1
Chr1_R2,GSCOCG00028487001,chr1,32790447,32792916,UDP-glycosyltransferase 87A2
Chr1_R2,GSCOCG00028488001,chr1,32793717,32798053,putative Mitochondrial substrate carrier family protein
Chr1_R2,GSCOCG00028489001,chr1,32798433,32801499,Protein phosphatase
Chr1_R2,GSCOCG00028491001,chr1,32801770,32802575,putative AT1G07020.1
Chr1_R2,GSCOCG00028492001,chr1,32802805,32805606,PKS_AT domain-containing protein
Chr1_R2,GSCOCG00028495001,chr1,32807412,32812287,Metallophos domain-containing protein
Chr1_R2,GSCOCG00028499001,chr1,32837060,32839737,Na_H_Exchanger domain-containing protein
Chr1_R2,GSCOCG00028500001,chr1,32841343,32845458,Laccase
Chr1_R2,GSCOCG00028501001,chr1,32846332,32862058,Laccase
Chr1_R2,GSCOCG00028502001,chr1,32866362,32872518,PX domain-containing protein
Chr1_R2,GSCOCG00028506001,chr1,32874157,32874801,PRA1 family protein
Chr1_R2,GSCOCG00028507001,chr1,32877453,32880890,Exocyst subunit Exo70 family protein
Chr1_R2,GSCOCG00028508001,chr1,32881526,32885498,Lipase_GDSL domain-containing protein (Fragment) OS=Cephalotus follicularis OX=3775 GN=CFOL_v3
Chr1_R2,GSCOCG00028511001,chr1,32896252,32900468,Na_H_Exchanger domain-containing protein
